country,fert_rate,gdp,health_exp_per_cap,health_exp_pub,prim_ed_girls,mat_mort_ratio,population
Chile,1.76825,259208553907.653,1650.5398007200001,3.6534318657023164,48.31952285766602,23.0,17611792.2
China,1.55875,10182790478745.176,657.7488592033333,3.015529819745927,46.29796409606933,28.75,1364446000.0
Colombia,1.9104999999999999,340405887874.4738,889.1433339733334,5.302124571334584,48.1455850601196,65.75,47779696.6
Comoros,4.524,603918965.05416,99.22193756666667,2.289039205974863,47.5157737731934,349.5,759555.6
"Congo, Dem. Rep.",6.054,32538662641.8831,27.957825443333334,1.5363239495946701,47.026583353678404,731.75,73790069.4
"Congo, Rep.",4.89,11665576764.119156,285.29209249666667,3.8062177982695267,51.5010986328125,461.5,4875465.2
Costa Rica,1.8315,51829966071.130295,1357.05840593,6.8940898771625365,48.5870246887207,26.0,4756644.8
Cote d'Ivoire,5.030500000000001,32535875289.42458,178.43500299666667,1.78672395530591,46.22489452362058,678.25,22544131.2
Croatia,1.4725,54087442413.89729,1653.8633653266668,6.384841148383674,48.63642311096191,8.75,4227168.0
Cuba,1.61775,79519475000.0,2057.4849448833334,9.208070802344007,47.69703674316408,40.25,11434298.8
Curacao,2.0500000000000003,,,,47.98674011230471,,155959.4
Cyprus,1.4507500000000002,22347398177.402863,2130.017844033333,3.4048047757371833,48.6059226989746,7.0,1152475.4
Czech Republic,1.4925000000000002,200535631259.83298,2089.4476401666666,6.30660974350664,48.69373130798338,4.0,10531619.2
Denmark,1.6949999999999998,326096204297.786,4776.310905783333,9.390534900931208,48.58234786987303,6.75,5652916.0
Djibouti,3.23,1530908235.380175,290.77307336666667,5.777383567683837,46.361291503906244,241.5,911956.8
Dominica,,513035007.4814817,572.4137335766667,3.749851194005737,48.77422523498535,,72785.4
Dominican Republic,2.495,65499358212.2922,529.46166858,2.7508850883064064,46.731947898864725,89.5,10403855.0
Early-demographic dividend,2.6363755692521926,10192831882397.598,392.4282675355177,2.595966609312203,48.65114339192707,169.0,3083696633.6217
East Asia & Pacific,1.781423829861585,21681276840886.758,835.9742593854604,4.6875961347037105,47.21249008178713,63.0,2265974036.4
East Asia & Pacific (IDA & IBRD),1.811850112883545,12399905384259.459,558.7111004453208,2.815572724968513,47.098031361897775,66.75,1996941567.2
East Asia & Pacific (excluding high income),1.8139502408882875,12423826855719.781,558.702326754964,2.815497772066303,47.11517333984377,66.75,2022089658.6
Ecuador,2.55625,96665096400.0,838.4232284,3.7746116243088963,49.05202331542968,68.5,15902752.2
"Egypt, Arab Rep.",3.3235,308496721822.3472,567.9133202,2.0406946430853163,48.29769007364906,34.75,91780021.8
El Salvador,1.94725,25213714000.0,551.02845773,4.437423795251553,47.83211994171145,55.0,6282082.4
Equatorial Guinea,4.87875,17627059825.26364,1242.31756419,3.073460760921563,49.1626739501953,352.5,1129728.4
Eritrea,4.3245000000000005,,47.15522556,1.4299022428906067,46.3313694000244,524.5,
Estonia,1.54,23987240640.3397,1628.0575073466664,5.09425363965175,48.59607982635497,9.0,1317425.2
Ethiopia,4.45725,56681967454.17084,72.24587016666666,3.0439331981210134,47.3662274678548,397.0,97394982.0
Euro area,1.5510035116439376,12556922637176.602,3913.46636414871,7.9560799042497665,48.61002985636393,6.5,338461526.2
Europe & Central Asia,1.7380942917307425,21915191558191.543,2518.5663231415333,7.130693936954576,48.65359878540041,16.75,903207318.2
Europe & Central Asia (IDA & IBRD),1.8614404158508049,4213635305944.128,1173.1357127335966,3.8783993284437766,48.63203303019207,24.0,450558816.6
Europe & Central Asia (excluding high income),1.9094656661454152,3710324043605.44,1138.1691652585732,3.7948672943393764,48.619736989339195,25.5,412548912.0
European Union,1.5700122833984924,17319097065723.541,3448.91022358446,7.816628469209697,48.65877660115561,8.0,508210953.6
Faroe Islands,2.525,2484982180.7894697,,,,,48867.4
Fiji,2.577,4330931378.12332,334.79315701,2.872533541295844,48.350320180257164,31.5,886005.2
Finland,1.7425,253688520597.9164,3654.3427890766666,7.178223610809536,48.7393445968628,3.0,5457816.4
Fragile and conflict affected situations,4.523020299286102,780110749177.5404,190.33970224126867,2.5416689639821803,46.285441080729164,508.0,482702277.6
France,2.005,2647649725041.198,4387.835406006667,8.920420072458906,48.77205022176107,8.75,66302098.8
French Polynesia,2.051,,,,,,275722.6
Gabon,3.93275,16283494396.414038,608.9278685233334,2.49753725020617,,302.0,1871952.4
"Gambia, The",5.72925,913773106.9335463,107.71135240333335,4.2998179098693265,50.989363861083994,724.0,1919078.4
Georgia,1.8169999999999997,15364450850.8605,610.8320533899999,1.3463998960467698,46.84591007232667,37.5,3752880.0
Germany,1.45,3601226157523.146,4909.6598842700005,8.542615278312446,48.568695068359375,6.25,81281644.8
Ghana,4.183,41718895908.54364,168.03785480000002,2.837240348248217,49.012948608398446,321.5,26966282.4
Gibraltar,,,,,,,34025.6
Greece,1.3074999999999999,222206258349.17642,2258.1332220233335,5.77525231515136,48.49970372517904,3.0,10894051.6
Greenland,2.03325,2415892668.0628576,,,,,56377.6
Grenada,2.16025,910843446.3703692,719.86367334,2.8852478753578565,47.9453099568685,27.0,106378.0
Guam,2.39625,5465750000.0,,,,,161201.6
Guatemala,3.2375,59098538178.47665,455.81992719666664,2.26812161608847,48.2587823867798,96.25,15925145.4
Guinea,5.0535,6304230915.099358,67.27933425666667,2.4044779329758774,45.41448974609377,689.25,11822210.0
Guinea-Bissau,4.8685,1062830631.1309154,94.98589454666666,1.4538350870602799,,552.25,1726320.4
Guyana,2.5725000000000002,3108723469.1451235,384.51986291000003,3.4517631283496133,49.1861381530762,234.25,763276.4
Haiti,3.06825,8373276259.056788,142.24002326000002,1.4214429889025164,,367.0,10570369.4
Heavily indebted poor countries (HIPC),5.0100641332676075,616666084073.0227,119.76174378023899,2.55945577647146,47.7303326924642,508.75,705144326.2
High income,1.6865849736033725,48846351937188.67,5045.885008254284,7.6020219048184465,48.70102977752685,10.0,1175933932.0
Honduras,2.4174999999999995,19829208307.200962,408.9210486866666,4.4428522268864805,48.75986671447753,134.25,8809268.6
"Hong Kong SAR, China",1.2095,292020358840.3156,,,47.941510200500495,,7247240.0
Hungary,1.3925,129470863836.0708,1779.2018464433334,4.899672114893886,48.43465423583985,16.25,9868179.6
IBRD only,2.10318494026205,26077258383054.4,625.3574282762589,3.10468212697771,48.02689234415687,106.25,4607548225.821699
IDA & IBRD total,2.58755716992625,28030202282722.72,507.0442581000904,3.0136873175085768,47.896336873372405,244.75,6113146993.2217
IDA blend,4.338195275813075,955534758256.1227,175.15770297379734,1.40808474804431,46.480459849039704,511.25,497912559.2
IDA only,4.1307567001648895,995006467895.4369,117.25101696933966,2.05787431192094,48.132962544759096,446.5,1007686208.2
IDA total,4.1989891195686795,1959104335295.9702,136.58729699249798,1.71568612369009,47.64946365356446,468.75,1505598767.4
Iceland,1.9574999999999998,16741584532.024817,3702.76164249,7.080444901486967,49.205944061279304,3.5,327386.6
India,2.4492499999999997,2019005411363.8481,241.57247706666666,1.29266565020746,49.49723434448239,185.25,1293742537.4
